ApartmentName,PersonID,PersonName,ExpectedPayment,AdjustedBid,GroupWinningBid,SecondHighestBidForApt,GroupMembersInWinningBid
QuirkyBreeze,7,Dummy Person 7,1410.96,3743.25,14973.00,0.00,"Dummy Person 7, Test, Dummy Person 16, Dummy Person 33"
QuirkyBreeze,21,Test,9992.65,3743.25,14973.00,0.00,"Dummy Person 7, Test, Dummy Person 16, Dummy Person 33"
QuirkyBreeze,16,Dummy Person 16,1215.11,3743.25,14973.00,0.00,"Dummy Person 7, Test, Dummy Person 16, Dummy Person 33"
QuirkyBreeze,33,Dummy Person 33,2343.28,3743.25,14973.00,0.00,"Dummy Person 7, Test, Dummy Person 16, Dummy Person 33"
CozyCrest,10,Dummy Person 10,1917.89,1538.33,4615.00,0.00,"Dummy Person 10, Dummy Person 30, Dummy Person 36"
CozyCrest,30,Dummy Person 30,1281.48,1538.33,4615.00,0.00,"Dummy Person 10, Dummy Person 30, Dummy Person 36"
CozyCrest,36,Dummy Person 36,1250.63,1538.33,4615.00,0.00,"Dummy Person 10, Dummy Person 30, Dummy Person 36"
EmeraldLoft,19,Dummy Person 19,2175.81,2039.00,4078.00,0.00,"Dummy Person 19, Dummy Person 23"
EmeraldLoft,23,Dummy Person 23,1794.19,2039.00,4078.00,0.00,"Dummy Person 19, Dummy Person 23"
SpaciousRetreat,4,Dummy Person 4,1609.43,1762.50,3525.00,0.00,"Dummy Person 4, Dummy Person 14"
SpaciousRetreat,14,Dummy Person 14,1777.57,1762.50,3525.00,0.00,"Dummy Person 4, Dummy Person 14"
TranquilAurora,11,Dummy Person 11,1117.00,1092.33,3277.00,0.00,"Dummy Person 11, Dummy Person 27, TEest"
TranquilAurora,27,Dummy Person 27,1160.00,1092.33,3277.00,0.00,"Dummy Person 11, Dummy Person 27, TEest"
TranquilAurora,37,TEest,1000.00,1092.33,3277.00,0.00,"Dummy Person 11, Dummy Person 27, TEest"
QuirkyWhisper,9,Dummy Person 9,1426.90,1559.50,3119.00,0.00,"Dummy Person 9, Dummy Person 34"
QuirkyWhisper,34,Dummy Person 34,1448.10,1559.50,3119.00,0.00,"Dummy Person 9, Dummy Person 34"
EnchantedNatura,2,test,1000.00,1002.67,3008.00,0.00,"test, x, Dummy Person 25"
EnchantedNatura,38,x,1000.00,1002.67,3008.00,0.00,"test, x, Dummy Person 25"
EnchantedNatura,25,Dummy Person 25,1008.00,1002.67,3008.00,0.00,"test, x, Dummy Person 25"
VibrantEcho,39,aoeu,1000.00,1000.00,3000.00,0.00,"aoeu, aeu, xadasdas"
VibrantEcho,40,aeu,1000.00,1000.00,3000.00,0.00,"aoeu, aeu, xadasdas"
VibrantEcho,41,xadasdas,1000.00,1000.00,3000.00,0.00,"aoeu, aeu, xadasdas"
EnchantedRetreat,42,xa,939.33,400.80,2004.00,0.00,"xa, dsfsd, check, Dummy Person 17, Dummy Person 20"
EnchantedRetreat,43,dsfsd,939.33,400.80,2004.00,0.00,"xa, dsfsd, check, Dummy Person 17, Dummy Person 20"
EnchantedRetreat,44,check,939.33,400.80,2004.00,0.00,"xa, dsfsd, check, Dummy Person 17, Dummy Person 20"
EnchantedRetreat,17,Dummy Person 17,898.66,400.80,2004.00,0.00,"xa, dsfsd, check, Dummy Person 17, Dummy Person 20"
EnchantedRetreat,20,Dummy Person 20,1023.34,400.80,2004.00,0.00,"xa, dsfsd, check, Dummy Person 17, Dummy Person 20"
ZenWhisper,24,Dummy Person 24,1259.15,1298.00,2596.00,0.00,"Dummy Person 24, Dummy Person 32"
ZenWhisper,32,Dummy Person 32,1270.85,1298.00,2596.00,0.00,"Dummy Person 24, Dummy Person 32"
CozyHideaway,6,Dummy Person 6,2323.00,2490.00,2490.00,0.00,Dummy Person 6
PanoramicVilla,13,Dummy Person 13,1216.08,1192.50,2385.00,0.00,"Dummy Person 13, Dummy Person 28"
PanoramicVilla,28,Dummy Person 28,1107.92,1192.50,2385.00,0.00,"Dummy Person 13, Dummy Person 28"
UrbanNook,12,Dummy Person 12,1112.30,1149.50,2299.00,0.00,"Dummy Person 12, Dummy Person 22"
UrbanNook,22,Dummy Person 22,1154.70,1149.50,2299.00,0.00,"Dummy Person 12, Dummy Person 22"
CozyPerch,8,Dummy Person 8,2205.00,2297.00,2297.00,0.00,Dummy Person 8
QuirkyHideaway,18,Dummy Person 18,2006.00,2267.00,2267.00,0.00,Dummy Person 18
GoldenLoft,26,Dummy Person 26,1802.00,2115.00,2115.00,0.00,Dummy Person 26
CharmingBreeze,15,Dummy Person 15,830.30,868.00,1736.00,0.00,"Dummy Person 15, Dummy Person 29"
CharmingBreeze,29,Dummy Person 29,767.70,868.00,1736.00,0.00,"Dummy Person 15, Dummy Person 29"
WhimsicalNook,31,Dummy Person 31,1485.00,1682.00,1682.00,0.00,Dummy Person 31
TranquilHarmony,35,Dummy Person 35,1000.00,1493.00,1493.00,0.00,Dummy Person 35
QuirkyOasis,3,Shmo,717.00,1000.00,1000.00,0.00,Shmo
GoldenDreamscape,5,Dummy Person 5,0.00,859.00,859.00,0.00,Dummy Person 5
